Negara,X1,X2,X3,X4,X5,X6,X7,X8,X9
Spain,13.96,5,5,3,3,1,1,2,1
Sri Lanka,4.2,0,0,2,3,0,0,18,13
Palestinian National Authority,0,35,34,3,3,4,1,32,18
Sudan,16.53,60,60,31,35,33,35,53,50
Suriname,7.33,12,10,14,11,19,11,42,34
Sweden,6.48,0,0,0,0,0,0,1,3
Switzerland,4.58,1,0,0,0,1,1,16,20
Syria,8.37,60,61,27,28,37,39,66,66
Tajikistan,11.02,87,88,1,2,0,0,0,0
Thailand,0.75,1,1,0,0,0,0,21,21
East Timor,4.55,51,48,7,3,12,9,27,22
Togo,2.04,1,7,2,4,15,28,47,66
Tokelau,0,20,0,0,0,0,0,53,30
Tonga,1.12,0,0,0,0,6,4,43,33
Trinidad and Tobago,2.69,0,0,0,0,0,0,0,0
Tunisia,16.02,0,0,0,0,0,0,0,0
Turkey,13.49,23,25,5,5,6,7,17,17
Turkmenistan,3.91,0,0,0,0,0,0,0,0
Turks and Caicos Islands,0,19,0,0,0,22,17,29,35
Tuvalu,0,13,9,13,17,27,32,61,39
Uganda,1.84,0,0,6,3,0,0,0,0
Ukraine,8.88,0,0,9,7,4,3,7,4
United Arab Emirates,2.35,0,0,8,5,2,3,2,2
United Kingdom,3.85,3,0,1,1,2,2,5,4
Tanzania,1.98,45,42,15,12,0,0,84,88
United States,14.7,12,8,1,1,3,1,4,3
Uruguay,8.73,2,1,3,3,1,0,15,9
Uzbekistan,5.92,53,55,0,2,0,2,14,15
Vanuatu,4.39,38,38,8,7,2,4,41,46
Venezuela,8.8,14,14,10,10,15,13,28,19
Vietnam,2.01,0,0,0,0,0,0,0,0
Yemen,12.91,96,96,10,21,23,34,46,68
Zambia,11.43,0,0,17,13,0,0,0,0
Zimbabwe,4.95,60,58,0,0,0,0,45,50
